MSA,credit_score
41700,748.277323645171
41740,759.2083772391992
41860,754.9814830989606
41900,737.6734693877551
41940,747.2725483765169
41980,757.7053998632946
42020,765.4119791666667
42100,739.2142304717711
42140,749.4953789279112
42200,756.8776561493883
42220,756.9063241106719
42340,755.3342354533153
42540,750.5485651214128
42660,755.2482023307712
42680,735.2521440823327
42700,744.8868360277136
43100,757.2658486707567
43300,752.8695652173913
43340,763.690036900369
43420,757.7978723404256
43580,746.5471698113207
43620,761.6525882607754
43780,746.3630872483221
43900,751.2438524590164
44060,745.4315476190476
44100,769.5109589041095
44140,748.7518220176448
44180,756.2326559215137
44220,767.7720930232558
44300,775.074074074074
44420,762.4761904761905
44700,739.434035656402
44940,767.7671232876712
45060,758.1737410071943
45220,747.5507411630558
45300,739.5417753470762
45460,731.7019498607242
45500,746.2518518518518
45540,794.1222684703434
45780,750.7254389241689
45820,740.5546218487395
45940,756.4278728606357
46060,756.2889820815859
46140,748.4872521246459
46220,745.2697547683923
46300,723.870786516854
46340,762.665909090909
46520,740.3268337975859
46540,759.8641655886158
46660,758.3266331658291
46700,749.9160360360361
47020,751.416129032258
47220,748.0827586206897
47260,756.0014316392269
47300,745.4009769094139
47380,762.8350764279968
47460,758.0833333333334
47580,737.5839598997494
47900,761.8075520394996
47940,757.1915444348576
48060,805.5
48140,739.1660516605166
48260,724.3341067285382
48300,752.1645997745209
48540,745.0155945419103
48620,762.2678678678678
48660,747.5887573964498
48700,751.3410672853828
48900,752.0095238095238
49020,758.7898734177215
49180,756.8435655253837
49340,741.5766650302733
49420,739.8308641975309
49500,743.0
49620,762.1177419354839
49660,756.2907407407407
49700,733.5452282157677
49740,750.1331389698737
