MSA,credit_score
10180,746.1219251336898
10380,724.7777777777778
10420,731.5697297297297
10500,762.5449735449736
10540,762.3226403454657
10580,756.0534394542353
10740,750.4642023346304
10780,756.7850467289719
10900,757.0363719027051
11020,761.320707070707
11100,751.5901150404773
11180,756.8057630736392
11260,763.1406451612903
11460,762.0519217801753
11500,761.7634854771784
11540,752.0199924556771
11640,816.0
11700,755.4122731201383
12020,763.5180375180375
12060,756.0541981341626
12100,743.9422632794457
12220,755.9395465994962
12260,748.0138648180242
12420,758.6729776247848
12540,743.547520661157
12580,764.1787132644956
12620,790.3541666666666
12700,759.6719613259669
12940,754.3102634683445
12980,722.4186046511628
13020,763.4693396226415
13140,747.6028968014484
13220,752.4185022026431
13380,747.8988706365503
13460,757.1204756980352
13740,757.0767236910316
13780,754.0016233766233
13820,752.1752419765664
13900,764.4637546468401
13980,766.1045197740114
14010,745.8406488549618
14020,762.0498812351544
14100,736.5802139037434
14260,739.2878492527616
14460,758.9793247420611
14500,761.2136684996073
14540,751.9895988112927
14740,749.3357859531773
14860,758.6359690507643
15180,729.8428372739917
15260,749.9855072463768
15380,757.1486625514403
15500,746.2225201072386
15540,755.5376016260162
15680,762.2839805825242
15940,757.8847235238987
15980,743.8826466916355
16020,764.0034482758621
16060,758.8640350877193
16180,733.8719135802469
16220,749.0395189003436
16300,760.1153846153846
16540,756.9871794871794
16580,751.8766404199475
16620,740.4691943127962
16700,749.5126612517917
16740,752.1826009877169
16820,763.2830802603037
16860,751.8720264980427
16940,764.121327014218
16980,753.2294678199678
17020,760.988530857455
17140,755.0909601347557
17300,755.7596017069701
17420,757.4165535956581
17460,752.3461047254151
17660,750.6165616561656
17780,763.1347150259068
17820,749.129652605459
17860,766.9748251748251
17900,758.4533479692645
17980,758.2261208576998
18020,771.3128491620112
18140,756.3818245861219
18580,756.0299516908212
18700,773.8335373317013
18880,749.6428571428571
19060,721.8571428571429
19100,748.5038915913829
19140,754.0700636942676
19180,761.6758241758242
19300,756.1816461684011
19340,751.7217221135029
19380,751.0070372976777
19430,745.5732217573221
19460,744.6754221388368
19500,771.8851132686084
19660,724.6300429184549
19740,757.5619696580097
19780,761.3784533871578
19820,747.2529056554769
20020,766.5988258317026
20100,751.777397260274
20220,724.7019400352734
20260,746.0514851485149
20500,758.6142433234421
20700,733.4742268041238
20740,770.4415752098128
20940,716.2165450121654
21060,742.3423236514523
21140,716.9441176470589
21300,746.2955665024631
21340,740.0432480141218
21420,736.0484581497798
21500,768.4405850091408
21660,755.0877242950726
21780,753.3144424131627
21820,761.85
22020,763.4340962904499
22140,721.4722222222222
22180,747.9962686567164
22220,744.4219308700834
22380,755.7473498233215
22420,739.4954766875435
22500,765.6439232409382
22520,738.3506686478455
22540,763.0519031141869
22660,766.3850293542074
22900,754.9061522419187
23060,747.1252830188679
23420,748.5936231884058
23460,747.0
23540,764.7884405670666
23580,748.5912052117263
23900,747.5066312997347
24020,748.1925465838509
24140,778.2733333333333
24220,751.9042995839112
24260,757.5214152700187
24300,746.3001912045889
24340,749.1874745279174
24420,742.4874100719425
24500,753.6294117647059
